date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:20:25	117690/117690	---M-Z	200	added ('OK')	text/html	date:Fri,%2031%20May%202024%2015:20:25%20GMT	https://iyyaka.com/author/ustaz-pahrol/	C:/USTAZ%20PAHROL%20MOHAMAD%20JUOI/iyyaka/iyyaka.com/author/ustaz-pahrol/index.html	(from )
23:20:25	107/107	---M-Z	200	added ('OK')	text/plain	date:Fri,%2031%20May%202024%2015:20:25%20GMT	https://iyyaka.com/robots.txt		(from )
23:20:25	72273/72273	---M-Z	200	added ('OK')	text/css	etag:%2211a51-6659c3c8-107a26;gz%22	https://iyyaka.com/wp-content/litespeed/ucss/93bfba73a93bf5f30ec2a3fd72a94fac.css?ver=f397a	C:/USTAZ%20PAHROL%20MOHAMAD%20JUOI/iyyaka/iyyaka.com/wp-content/litespeed/ucss/93bfba73a93bf5f30ec2a3fd72a94facf83a.css	(from https://iyyaka.com/author/ustaz-pahrol/)
23:20:25	1353/1353	---M-Z	200	added ('OK')	text/javascript	etag:%22549-664dff7f-106617;gz%22	https://iyyaka.com/wp-content/plugins/litespeed-cache/assets/js/css_async.min.js	C:/USTAZ%20PAHROL%20MOHAMAD%20JUOI/iyyaka/iyyaka.com/wp-content/plugins/litespeed-cache/assets/js/css_async.min.js	(from https://iyyaka.com/author/ustaz-pahrol/)
23:20:25	0/0	---M--	403	error ('Forbidden')	text/html	date:Fri,%2031%20May%202024%2015:20:26%20GMT	https://iyyaka.com/author/ustaz-pahrol/feed/	C:/USTAZ%20PAHROL%20MOHAMAD%20JUOI/iyyaka/iyyaka.com/author/ustaz-pahrol/feed/index.html	(from https://iyyaka.com/author/ustaz-pahrol/)
23:20:25	107902/107902	---MCZ	200	added ('OK')	text/css	etag:W/%221a57e-m/ufJj2eAiPapDT36d69nG4R6Hc%22	https://maxst.icons8.com/vue-static/landings/line-awesome/line-awesome/1.3.0/css/line-awesome.min.css?ver=6.5.3	C:/USTAZ%20PAHROL%20MOHAMAD%20JUOI/iyyaka/maxst.icons8.com/vue-static/landings/line-awesome/line-awesome/1.3.0/css/line-awesome.minef10.css	(from https://iyyaka.com/author/ustaz-pahrol/)
23:20:26	799/799	---M-Z	200	added ('OK')	text/javascript	etag:%2231f-664e0298-106d14;gz%22	https://iyyaka.com/wp-content/plugins/ncmaz-frontend/dist/js/customizer.js	C:/USTAZ%20PAHROL%20MOHAMAD%20JUOI/iyyaka/iyyaka.com/wp-content/plugins/ncmaz-frontend/dist/js/customizer.js	(from https://iyyaka.com/author/ustaz-pahrol/)
23:20:26	527/527	---M--	200	added ('OK')	image/png	etag:%2220f-63519922-106f3e;;;%22	https://iyyaka.com/wp-content/uploads/2022/09/cropped-iyyaka_v2-4-32x32.png	C:/USTAZ%20PAHROL%20MOHAMAD%20JUOI/iyyaka/iyyaka.com/wp-content/uploads/2022/09/cropped-iyyaka_v2-4-32x32.png	(from https://iyyaka.com/author/ustaz-pahrol/)
23:20:26	5237/5237	---M--	200	added ('OK')	image/png	etag:%221475-63519920-10717f;;;%22	https://iyyaka.com/wp-content/uploads/2022/09/cropped-iyyaka_v2-4-192x192.png	C:/USTAZ%20PAHROL%20MOHAMAD%20JUOI/iyyaka/iyyaka.com/wp-content/uploads/2022/09/cropped-iyyaka_v2-4-192x192.png	(from https://iyyaka.com/author/ustaz-pahrol/)
23:20:26	4669/4669	---M--	200	added ('OK')	image/png	etag:%22123d-63519921-107297;;;%22	https://iyyaka.com/wp-content/uploads/2022/09/cropped-iyyaka_v2-4-180x180.png	C:/USTAZ%20PAHROL%20MOHAMAD%20JUOI/iyyaka/iyyaka.com/wp-content/uploads/2022/09/cropped-iyyaka_v2-4-180x180.png	(from https://iyyaka.com/author/ustaz-pahrol/)
23:20:27	484418/484418	---M-Z	200	added ('OK')	text/javascript	etag:%2276442-664e0298-107578;gz%22	https://iyyaka.com/wp-content/plugins/ncmaz-frontend/dist/assets/main-7da1bb7c.js	C:/USTAZ%20PAHROL%20MOHAMAD%20JUOI/iyyaka/iyyaka.com/wp-content/plugins/ncmaz-frontend/dist/assets/main-7da1bb7c.js	(from https://iyyaka.com/author/ustaz-pahrol/)
