date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:27:23	8567/8567	---MCZ	200	added ('OK')	text/html	date:Fri,%2031%20May%202024%2015:27:24%20GMT	https://komikm.com/penulis/ustaz-pahrol-mohamad-juoi	C:/USTAZ%20PAHROL%20MOHAMAD%20JUOI/komik%20m/komikm.com/penulis/ustaz-pahrol-mohamad-juoi.html	(from )
23:27:24	578/578	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2031%20May%202024%2015:27:24%20GMT	https://komikm.com/robots.txt		(from )
23:27:24	28420/28420	---M--	200	added ('OK')	image/png	etag:%226f04-5ab181d60c800%22	https://komikm.com/assets/images/komikm_icon.png	C:/USTAZ%20PAHROL%20MOHAMAD%20JUOI/komik%20m/komikm.com/assets/images/komikm_icon.png	(from https://komikm.com/penulis/ustaz-pahrol-mohamad-juoi)
23:27:24	65250/65250	---M--	200	added ('OK')	image/png	etag:%22fee2-60e80094758bc%22	https://komikm.com/assets/og_komikm.png	C:/USTAZ%20PAHROL%20MOHAMAD%20JUOI/komik%20m/komikm.com/assets/og_komikm.png	(from https://komikm.com/penulis/ustaz-pahrol-mohamad-juoi)
23:27:24	1919/1919	---MCZ	200	added ('OK')	text/css	etag:W/%2277f-5b342bb59ef00%22	https://komikm.com/assets/default.css	C:/USTAZ%20PAHROL%20MOHAMAD%20JUOI/komik%20m/komikm.com/assets/default.css	(from https://komikm.com/penulis/ustaz-pahrol-mohamad-juoi)
23:27:25	10931/10931	---MCZ	200	added ('OK')	text/css	etag:W/%222ab3-6037eb945b5da%22	https://komikm.com/assets/komikm2021-11.css	C:/USTAZ%20PAHROL%20MOHAMAD%20JUOI/komik%20m/komikm.com/assets/komikm2021-11.css	(from https://komikm.com/penulis/ustaz-pahrol-mohamad-juoi)
23:27:25	89501/89501	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-15d9d%22	https://code.jquery.com/jquery-3.6.0.min.js	C:/USTAZ%20PAHROL%20MOHAMAD%20JUOI/komik%20m/code.jquery.com/jquery-3.6.0.min.js	(from https://komikm.com/penulis/ustaz-pahrol-mohamad-juoi)
23:27:26	71750/71750	---M-Z	200	added ('OK')	text/css	etag:%225f5628a2-11846%22	https://cdnjs.cloudflare.com/ajax/libs/animate.css/4.1.1/animate.min.css	C:/USTAZ%20PAHROL%20MOHAMAD%20JUOI/komik%20m/cdnjs.cloudflare.com/ajax/libs/animate.css/4.1.1/animate.min.css	(from https://komikm.com/penulis/ustaz-pahrol-mohamad-juoi)
23:27:26	210640/210640	---MCZ	200	added ('OK')	text/javascript	etag:W/%22336d0-g/6wprihOkYe7HpMswOVDodT6lU%22	https://platform-api.sharethis.com/js/sharethis.js	C:/USTAZ%20PAHROL%20MOHAMAD%20JUOI/komik%20m/platform-api.sharethis.com/js/sharethis.js	(from https://komikm.com/penulis/ustaz-pahrol-mohamad-juoi)
23:27:26	32553/32553	---M--	200	added ('OK')	image/png	etag:%227f29-5ab17e3ae4600%22	https://komikm.com/assets/images/komikm_logo2020.png	C:/USTAZ%20PAHROL%20MOHAMAD%20JUOI/komik%20m/komikm.com/assets/images/komikm_logo2020.png	(from https://komikm.com/penulis/ustaz-pahrol-mohamad-juoi)
23:27:27	21177/21177	---M--	200	added ('OK')	image/jpeg	etag:%2252b9-5d0dd8f3c5940%22	https://pts.com.my/assets/book_cover/_crop/Front_cover.JPG	C:/USTAZ%20PAHROL%20MOHAMAD%20JUOI/komik%20m/pts.com.my/assets/book_cover/_crop/Front_cover.jpg	(from https://komikm.com/penulis/ustaz-pahrol-mohamad-juoi)
23:27:27	59305/59305	---M-Z	200	added ('OK')	text/css	etag:%22613fa20b-3171%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.4/css/all.min.css	C:/USTAZ%20PAHROL%20MOHAMAD%20JUOI/komik%20m/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.4/css/all.min.css	(from https://komikm.com/assets/komikm2021-11.css)
23:27:27	102217/102217	---M-Z	200	added ('OK')	text/css	etag:%2264cac444-54a3%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.4.2/css/all.min.css	C:/USTAZ%20PAHROL%20MOHAMAD%20JUOI/komik%20m/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.4.2/css/all.min.css	(from https://komikm.com/assets/komikm2021-11.css)
23:27:28	49063/49063	---M--	200	added ('OK')	image/png	etag:%22bfa7-5b571935f9500%22	https://komikm.com/assets/images/komikm_bg2020-1.png	C:/USTAZ%20PAHROL%20MOHAMAD%20JUOI/komik%20m/komikm.com/assets/images/komikm_bg2020-1.png	(from https://komikm.com/assets/komikm2021-11.css)
23:27:28	16675/16675	---M--	200	added ('OK')	image/png	etag:%224123-5b46f4a642580%22	https://komikm.com/assets/images/komikm_title.png	C:/USTAZ%20PAHROL%20MOHAMAD%20JUOI/komik%20m/komikm.com/assets/images/komikm_title.png	(from https://komikm.com/assets/komikm2021-11.css)
